,Location,Venue Latitude,Venue Longitude,geometry
211,Beaumont,30.301012296170263,-93.20252641405885,"30.301012296170263, -93.20252641405885"
212,Beaumont,30.198062349233606,-93.21988726253748,"30.198062349233606, -93.21988726253748"
213,Beaumont,30.228270292282104,-93.3249682188034,"30.228270292282104, -93.3249682188034"
214,Beaumont,30.253365112418326,-93.25827666344784,"30.253365112418326, -93.25827666344784"
215,Beaumont,30.223930753370336,-93.37678846614612,"30.223930753370336, -93.37678846614612"
216,Beaumont,29.776734,-95.301491,"29.776734, -95.301491"
217,Beaumont,29.395270873579395,-94.94567554287153,"29.395270873579395, -94.94567554287153"
218,Beaumont,30.300615,-93.20174,"30.300615, -93.20174"
219,Beaumont,30.107077,-93.74652900000001,"30.107077, -93.74652900000001"
220,Beaumont,29.796352,-95.31681,"29.796352, -95.31681"
221,Beaumont,29.733382,-95.348544,"29.733382, -95.348544"
222,Beaumont,29.940839,-93.938,"29.940839, -93.938"
223,Beaumont,30.204859,-93.180329,"30.204859, -93.180329"
224,Beaumont,30.92863157902429,-93.9966754775327,"30.92863157902429, -93.9966754775327"
225,Beaumont,30.056856383195136,-94.09923078263782,"30.056856383195136, -94.09923078263782"
226,Beaumont,29.913425712311458,-93.91559515614544,"29.913425712311458, -93.91559515614544"
227,Beaumont,30.128175616264343,-94.15637791156769,"30.128175616264343, -94.15637791156769"
228,Beaumont,30.0781954177165,-94.16981922806558,"30.0781954177165, -94.16981922806558"
229,Beaumont,30.080912577726725,-94.12995483556519,"30.080912577726725, -94.12995483556519"
230,Bedford,32.941498,-97.071911,"32.941498, -97.071911"
231,Bedford,32.91748801786964,-96.96122629509063,"32.91748801786964, -96.96122629509063"
232,Bedford,32.93478694297629,-97.23781036809046,"32.93478694297629, -97.23781036809046"
233,Bedford,32.906286483087335,-97.0364520882317,"32.906286483087335, -97.0364520882317"
234,Bedford,32.86146821064473,-97.31642655253441,"32.86146821064473, -97.31642655253441"
235,Bedford,32.89055105934589,-97.0357480789916,"32.89055105934589, -97.0357480789916"
